Gilbert Chesterton;Der beste Weg etwas zu lieben: Realisieren, dass man es verlieren kann.
Arthur Schopenhauer;Lesen soll man nur, wenn die Quelle der eigenen Gedanken stockt.
Arthur Schopenhauer;Die Gegenwart eines Gedankens ist wie die Gegenwart einer Geliebten.
Arthur Schopenhauer;Die Ehre ist das äußere Gewissen und das Gewissen die innere Ehre.
Arthur Schopenhauer;Entfernung und lange Abwesenheit tun jeder Freundschaft Eintrag.
Arthur Schopenhauer;Der Schlaf ist für den ganzen Menschen, was das Aufziehen für die Uhr.
Arthur Schopenhauer;Die Wilden fressen einander, und die Zahmen betrügen einander.
Arthur Schopenhauer;Der natürliche Stil der Geschichtsschreibung ist der ironische.
Arthur Schopenhauer;Die Religion ist eine Krücke für schlechte Staatsverfassungen.
Arthur Schopenhauer;Viel leichter ist Widerlegen als Beweisen, Umwerfen als Aufstellen.
Arthur Schopenhauer;Bei gleicher Umgebung lebt doch jeder in einer anderen Welt.
Arthur Schopenhauer;Es wäre gut, Bücher zu kaufen, wenn man die Zeit, sie zu lesen, mitkaufen könnte.
Arthur Schopenhauer;Je mehr der Mensch des ganzen Ernstes fähig ist, desto herzlicher kann er lachen.
Arthur Schopenhauer;Jedes Kind ist gewissermaßen ein Genie und jedes Genie gewissermaßen ein Kind.
Arthur Schopenhauer;Er ist sehr ungesellig" besagt beinahe schon: "Er ist ein Mann von großen Eigenschaften.
Arthur Schopenhauer;Geistige Werte müssen uns ansprechen wie Könige. Sie dürfen nicht aufgedrängt werden.
Arthur Schopenhauer;Man hat in der Welt nicht viel mehr, als die Wahl zwischen Einsamkeit und Gemeinheit.
Arthur Schopenhauer;Wer da will, daß sein Urteil Glauben finde, spreche es kalt und ohne Leidenschaftlichkeit aus!
Arthur Schopenhauer;Mancher Kaufmann betrügt ohne Skrupel; aber stehlen würde er schlechterdings nicht.
Arthur Schopenhauer;Um das Gute lesen zu können, ist es Bedingung, daß man das Schlechte nicht lese.
Arthur Schopenhauer;Die Religionen sind wie die Leuchtwürmer: Sie bedürfen der Dunkelheit, um zu leuchten.
Arthur Schopenhauer;Vielmehr ist ganz gewiß, daß jeder Vorwurf nur in dem Maße, als er trifft, verletzen kann.
Arthur Schopenhauer;Religionen sind Kinder der Unwissenheit, die ihre Mutter nicht lange überleben.
Arthur Schopenhauer;Im Alter versteht man besser, die Unglücksfälle zu verhüten, in der Jugend, sie zu ertragen.
Arthur Schopenhauer;Wie die Not die beständige Geißel des Volkes ist, so die Langeweile die der vornehmen Welt.
Arthur Schopenhauer;Nichts ist schwerer, als bedeutende Gedanken so auszudrücken, daß jeder sie verstehen muß.
Arthur Schopenhauer;Es gibt Kamele mit einem Höcker und welche mit zweien. Aber die größten haben gar keinen.
Arthur Schopenhauer;Um fremden Wert willig und frei anzuerkennen und gelten zu lassen, muß man eigenen haben.
Arthur Schopenhauer;Skepsis ist, was die Opposition im Parlament. Sie ist ebenso wohltätig wie notwendig.
Arthur Schopenhauer;Maximen beim Handeln sind notwendig, um der Schwäche des Augenblicks Widerstand leisten zu können.
Arthur Schopenhauer;Jedoch ist, Neid zu empfinden, menschlich, Schadenfreude zu genießen, teuflisch.
Arthur Schopenhauer;Aller Eigensinn beruht darauf, daß der Wille sich an die Stelle der Erkenntnis gedrängt hat.
Arthur Schopenhauer;Die Ferne, welche dem Auge die Gegenstände verkleinert, vergrößert sie den Gedanken.
Arthur Schopenhauer;Für das praktische Leben ist das Genie so brauchbar wie ein Stern-Teleskop im Theater.
Arthur Schopenhauer;Vergeben und Vergessen heißt kostbare Erfahrungen zum Fenster hinauszuwerfen.
Arthur Schopenhauer;Ein Weiser ist man nur unter der Bedingung, in einer Welt voller Narren zu leben.
Arthur Schopenhauer;Alles Behaartsein ist tierisch. Die Rasur ist das Abzeichen höherer Zivilisation.
Arthur Schopenhauer;Viel zuviel Wert auf die Meinung anderer zu legen, ist ein allgemein herrschender Irrwahn.
Arthur Schopenhauer;Die Preßfreiheit sollte durch das strengste Verbot aller und jeder Anonymität bedingt sein.
Arthur Schopenhauer;Wer die weite Reise zur Nachwelt vorhat, darf keine unnütze Bagage mitschleppen.
Arthur Schopenhauer;Auch das Zufälligste ist nur ein auf entfernterem Wege herangekommenes Notwendiges.
Arthur Schopenhauer;Jünglingsschönheit verhält sich zu Mädchenschönheit wie Ölmalerei zu Pastell.
Arthur Schopenhauer;Schönheit ist ein offener Empfehlungsbrief, der die Herzen im Voraus für uns gewinnt.
Arthur Schopenhauer;Der Tor läuft den Genüssen des Lebens nach und sieht sich betrogen. Der Weise vermeidet die Übel.
Arthur Schopenhauer;Die höchste intellektuelle Eminenz kann zusammenbestehen mit der ärgsten moralischen Verworfenheit.
Arthur Schopenhauer;Der einzige Mann, der wirklich nicht ohne Frauen leben kann, ist der Frauenarzt.
Arthur Schopenhauer;Der Reichtum gleicht dem Seewasser: Je mehr man davon trinkt, desto durstiger wird man.
Arthur Schopenhauer;Kein Geld ist vorteilhafter angewandt als das, um welches wir uns haben prellen lassen; denn wir haben dafür unmittelbar Klugheit eingehandelt.
Arthur Schopenhauer;Die Gerechtigkeit gleicht jenen chemischen Stoffen, die man nie völlig rein, sondern nur unter Beimischung eines anderen Stoffes darstellen kann.
Arthur Schopenhauer;In unserem monogamischen Weltteile heißt heiraten seine Rechte halbieren und seine Pflichten verdoppeln.
Arthur Schopenhauer;Bei einem umgestoßenen System wie bei einer geschlagenen Armee ist der Klügste, wer zuerst davonläuft.
Arthur Schopenhauer;Glauben und Wissen verhalten sich wie die zwei Schalen einer Waage: In dem Maße, als die eine steigt, sinkt die andere.
Arthur Schopenhauer;Der wahre, tiefe Friede des Herzens und die vollkommene Gemütsruhe sind allein in der Einsamkeit zu finden.
Arthur Schopenhauer;Ist doch Geist und Verstand an den Tag legen nur eine indirekte Art, allen andern ihre Unfähigkeit und ihren Stumpfsinn vorzuwerfen.
Arthur Schopenhauer;Die Gemeinheit ist ein Leim, der die Menschen zusammenkleistert. Wem es daran gebricht, der fällt ab.
Arthur Schopenhauer;Menschen, deren Lachen stets affektiert ist und gezwungen, sind intellektuell und moralisch von leichtem Gehalte.
Arthur Schopenhauer;Weil sie nämlich keine Gedanken auszutauschen haben, tauschen sie Karten aus und suchen einander Gulden abzunehmen. O, klägliches Geschlecht!
Arthur Schopenhauer;Das macht die gewöhnlichen Leute so gesellig und akkomodant: Es wird ihnen nämlich leichter, andere zu ertragen als sich selbst.
Arthur Schopenhauer;Was für ein Neuling ist doch der, welcher wähnt, Geist und Verstand zu zeigen wäre ein Mittel, sich in der Gesellschaft beliebt zu machen.
Arthur Schopenhauer;Mir ist unter den Menschen fast immer, wie dem Jesus von Nazareth war, als er die Jünger aufrief, die immer alle schliefen.
Arthur Schopenhauer;Der Heiterkeit sollen wir, wann immer sie sich einstellt, Tür und Tor öffnen; denn sie kommt nie zur unrechten Zeit.
Arthur Schopenhauer;Die Heiterkeit allein ist gleichsam die bare Münze des Glückes und nicht, wie alles andere, bloß der Bankzettel.
Arthur Schopenhauer;Der vollkommene Weltmann wäre der, welcher nie in Unschlüssigkeit stockte und nie in Übereilung geriete.
Arthur Schopenhauer;Die Liebe zur Einsamkeit kann nicht als ursprünglicher Hang da sein, sondern erst infolge der Erfahrung und des Nachdenkens entstehen.
Arthur Schopenhauer;Ein Hauptstudium der Jugend sollte sein, die Einsamkeit ertragen zu lernen: Weil sie eine Quelle des Glücks und der Gemütsruhe ist.
Arthur Schopenhauer;Höflichkeit ist Klugheit. Folglich ist Unhöflichkeit Dummheit. Sich mittels ihrer unnötiger- und mutwilligerweise Feinde machen ist Raserei.
Arthur Schopenhauer;Höflichkeit ist wie der Rechenpfennig eine offenkundig falsche Münze: Mit einer solchen sparsam zu sein, beweist Unverstand.
Arthur Schopenhauer;Höflichkeit ist wie ein Luftkissen: Es mag wohl nicht drin sein, aber sie mildert die Stöße des Lebens.
Arthur Schopenhauer;Wie Papiergeld statt des Silbers so kursieren in der Welt statt der wahren Achtung und der wahren Freundschaft die äußerlichen Demonstrationen.
Arthur Schopenhauer;Das Leben ist eine mißliche Sache. Ich habe mir vorgesetzt, es damit hinzubringen, über dasselbe nachzudenken.
Arthur Schopenhauer;Vermöge seiner Bildung sagt der Mensch nicht, was er denkt, sondern was andere gedacht haben und was er gelernt hat.
Arthur Schopenhauer;Den Ruhm kann man den Winterbirnen vergleichen, die im Sommer wachsen, aber im Winter genossen werden.
Arthur Schopenhauer;In der Jugend herrscht die Anschauung, im Alter das Denken vor. Daher ist jede die Zeit für Poesie, dieses mehr für Philosophie.
Arthur Schopenhauer;In der Einsamkeit fühlt der Jämmerliche seine ganze Jämmerlichkeit, der große Geist seine ganze Größe.
Bertolt Brecht;Wer kämpft, kann verlieren. Wer nicht kämpft, hat schon verloren.
Dieter Hildebrandt;Jedes Land hat einen natürlichen Bodensatz von zehn Prozent an Vollidioten
Dennis Ritchie;Unix is basically a simple operating system but you have to be a genius to appreciate the simplicity.
Don King;Wer weiß, wie viel Geld er hat, hat nicht genug.
Georg Orwell;Das Geld ist der große Maßstab aller Tugendhaftigkeit.
Georg Orwell;Das Wesentliche des Menschseins besteht darin, nicht Vollkommenheit anzustreben, sondern bereit zu sein, um Treue zu einem Menschen willen auch Sünde zu begehen, und sich darauf gefasst zu machen, am Ende mit leeren Händen dazustehen, als unvermeidbarer Preis dafür, seine Liebe auf ein anderes Menschenwesen fixiert zu haben.
Georg Orwell;Der ist der beste Lehrer, der sich nach und nach überflüssig macht.
Georg Orwell;Der Pöbel bestünde aus solch niedrigen Tieren, dass diese gefährlich werden könnten, wenn sie nichts zu tun hätten, es sei mithin sicherer, sie zu beschäftigen, als sie auf dumme Gedanken kommen zu lassen.
Georg Orwell;Die Armut befreit von den gewöhnlichen Normen des Verhaltens.
Helmut Schmidt;Wir leben in einer Fernseh-Demokratie.
Helmut Schmidt;Intellektuelle neigen immer zu Spinnereien.
Helmut Schmidt;Wer Berater sein will, sollte wenigstens wissen, was ein Berater ist.
Helmut Schmidt;Nichts auf der Welt ist zwangsläufig, außer der Abfolge von Tag und Nacht.
Helmut Schmidt;Hoffnung? Das ist ein Gebot, dem die Politiker nicht ausweichen dürfen!
Helmut Schmidt;Wenn aus Bonn keine Führung zu erwarten ist, muß sie von den Bürgern kommen.
Helmut Schmidt;Mir scheint, daß das Deutsche Volk – zugespitzt – 5% Preisanstieg eher vertragen kann, als 5% Arbeitslosigkeit.
Helmut Schmidt;Wenn man ins Fleisch schneiden muß, dann muß man beim eigenen Fleisch anfangen.
Helmut Schmidt;Wer bei der Analyse nur darauf bedacht ist, seine eigenen Worte von gestern nicht in Mißkredit zu bringen, der kann die Kraft zum radikalen Durchdenken nicht aufbringen.
Helmut Schmidt;Wenn wir auf Jahrzehnte so weiterfahren wie bisher, dann muss ich für unser Vaterland schwarz sehen.
Helmut Schmidt;Wer Visionen hat, soll zum Arzt gehen.
Helmut Schmidt;Wollen wir denn auch noch Weltmeister im Jammern werden?
Helmut Schmidt;Zwar kann der Politiker im Augenblick seines Handelns oder wenn er sein Handeln erklären und begründen muss, nicht gleichzeitig auch große Philosophie liefern. Aber sofern er ohne philosophisch-ethische Grundlage handelt, ist er in Gefahr, Fehler zu begehen. Er ist in Gefahr, in Opportunismus abzusinken. Er ist sogar in Gefahr, ein Scharlatan zu werden.
Helmut Schmidt;Das Schneckentempo ist das normale Tempo jeder Demokratie.
Helmut Schmidt;Nach meiner Meinung hat es niemals eine Weltordnung gegeben. Weder im 20. noch im 19. noch im 18. Jahrhundert, noch zur Zeit der alten Römer.
Helmut Schmidt;Keine Begeisterung sollte größer sein als die nüchterne Leidenschaft zur praktischen Vernunft.
Helmut Schmidt;In der Krise beweist sich der Charakter.
Helmut Schmidt;Ich hatte bislang nicht das Gefühl, dass wir Deutschen unter einem Mangel an Grundrechten leiden.
Helmut Schmidt;Der Rechtsstaat hat nicht zu siegen, er hat auch nicht zu verlieren, sondern er hat zu existieren!
Helmut Schmidt;Die multikulturelle Gesellschaft ist eine Illusion von Intellektuellen.
Helmut Schmidt;Die Vorstellung, dass eine moderne Gesellschaft in der Lage sein müsste, sich als multikulturelle Gesellschaft zu etablieren, mit möglichst vielen kulturellen Gruppen, halte ich für abwegig. Man kann aus Deutschland mit immerhin einer tausendjährigen Geschichte seit Otto I. nicht nachträglich einen Schmelztiegel machen.
Helmut Schmidt;Heutzutage ist das wichtigste zu lernen, wie man andere Völker versteht. Und zwar nicht nur deren Musik, sondern auch ihre Philosophie, ihre Haltung, ihr Verhalten. Nur dann können sich die Nationen untereinander verstehen.
Helmut Schmidt;In den grundlegenden Fragen muss man naiv sein. Und ich bin der Meinung, dass die Probleme der Welt und der Menschheit ohne Idealismus nicht zu lösen sind. Gleichwohl glaube ich, dass man zugleich realistisch und pragmatisch sein sollte.
Helmut Schmidt;Je mehr direkte Entscheidungen durch das ganze Volk, um so unregierbarer das Land!
Helmut Schmidt;Mit einer demokratischen Gesellschaft ist das Konzept von Multikulti schwer vereinbar. Vielleicht auf ganz lange Sicht. Aber wenn man fragt, wo denn multikulturelle Gesellschaften bislang funktioniert haben, kommt man sehr schnell zum Ergebnis, dass sie nur dort friedlich funktionieren, wo es einen starken Obrigkeitsstaat gibt. Insofern war es ein Fehler, dass wir zu Beginn der 60er Jahre Gastarbeiter aus fremden Kulturen ins Land holten.
Helmut Schmidt;Natürlich hat Kernkraft ihre Risiken. Es gibt aber keine Energie und nichts auf der Welt ohne Risiken, nicht einmal die Liebe.
Helmut Schmidt;Nichts ist wichtiger als Seelsorge für Menschen in Not. [..] Für mich ist nichts unwichtiger als Theologie.
Helmut Schmidt;Wenn man ganz genau hinschaut, dann sieht man, dass die politischen Journalisten eigentlich mehr zur politischen Klasse gehören und weniger zum Journalismus.
Helmut Schmidt;Das Fernsehen ist inzwischen in beängstigendem Umfang ein Erziehungsfaktor geworden. in vielen fällen wichtiger noch als die eltern oder die schule. das erlegt den Fernsehmachern eine riesige Verantwortung auf. Aber sie sind sich dessen nicht bewußt. und sie werden auch nicht zur Verantwortung gezogen.
Helmut Schmidt;Wenn Unternehmen, Gewerkschaften und Parlamente gemeinsam irren, dann zahlen zunächst die Steuerzahler die Zeche, später die arbeitslos werdenden Arbeitnehmer und die Beitragszahler der Sozialversicherung, schließlich aber die Gesellschaft insgesamt, deren Wettbewerbsfähigkeit in einer dynamischen Weltwirtschaft wegen eigener Stagnation schwindet.
Helmut Schmidt;Die Heutigen wissen alles viel besser.
Helmut Schmidt;Der liebe Gott hat mich als Arbeitstier geboren.
Helmut Schmidt;Ich möchte Kohl zugutehalten, dass er im Grunde ein anständiger Politiker gewesen ist.
Helmut Schmidt;Politiker und Journalisten. Das sind beides Kategorien von Menschen, denen gegenüber größte Vorsicht geboten ist: Denn beide reichen vom Beinahe-Staatsmann zu Beinahe-Verbrechern. Und der Durchschnitt bleibt Durchschnitt.
Helmut Schmidt;Sich vorzustellen, dass Deutschland in der Weltpolitik eine Rolle zu spielen habe, finde ich ziemlich abwegig.
Helmut Schmidt;Die heutige politische Klasse in Deutschland ist gekennzeichnet durch ein Übermaß an Karrierestreben und Wichtigtuerei und durch ein Übermaß an Geilheit, in Talkshows aufzutreten.
Helmut Schmidt;Der Köhler, wenn er Bundespräsident wird, hat allein mehr ökonomischen Verstand als die ganze deutsche politische Klasse zusammen.
Helmut Schmidt;Willen braucht man. Und Zigaretten.
Helmut Schmidt;Das gegenwärtig zur Verfügung stehende Personal ist nicht sonderlich geeignet, gemeinsam zu regieren, weil beide Seiten nicht ausreichend wissen, was sie eigentlich wollen.
Immanuel Kant;Habe Mut, dich deines eigenen Verstandes zu bedienen.
Immanuel Kant;Der Ziellose erleidet sein Schicksal - der Zielbewusste gestaltet es.
Immanuel Kant;Drei Dinge helfen, die Mühseligkeiten des Lebens zu tragen: Die Hoffnung, der Schlaf und das Lachen.
Immanuel Kant;Je mehr du gedacht, je mehr du getan hast, desto länger hast du gelebt.
Immanuel Kant;Wer sich zum Wurm macht, soll nicht klagen, wenn er getreten wird.
Immanuel Kant;Phantasie ist unser guter Genius oder unser Dämon.
Immanuel Kant;Faulheit: der Hang zur Ruhe ohne vorhergehende Arbeit.
Immanuel Kant;Aufklärung ist der Ausgang des Menschen aus seiner sebstverschuldeten Unmündigkeit.
Immanuel Kant;Mit dem Alter nimmt die Urteilskraft zu und Genie ab.
Immanuel Kant;Demut ist eigentlich nichts anderes als eine Vergleichung seines Wertes mit der moralischen Vollkommenheit.
Immanuel Kant;Es ist nur eine Religion, aber es kann vielerlei Arten des Glaubens geben.
Immanuel Kant;Alles, was die Natur selbst anordnet, ist zu irgendeiner Absicht gut. Die ganze Natur überhaupt ist eigentlich nichts anderes, als ein Zusammenhang von Erscheinungen nach Regeln; und es gibt überall keine Regellosigkeit.
Immanuel Kant;Über Geschmack lässt sich nicht disputieren.
Immanuel Kant;Der größte Sinnesgenuss, der gar keine Beimischung von Ekel bei sich führt, ist, im gesunden Zustande, Ruhe nach der Arbeit.
Loriot;Der beste Platz für Politiker ist das Wahlplakat. Dort ist er tragbar, geräuschlos und leicht zu entfernen.
J. La Fontaine; Mit den Flügeln der Zeit fliegt die Traurigkeit davon.
J. W. von Goethe;Willst du glücklich sein im Leben, trage bei zu anderer Glück, denn die Freude die wir geben, kehrt ins eigene Herz zurück.
John Gilmore;Das Netz interpretiert Zensur als Schaden und routet um ihn herum.
Lao-tse; Güte in den Worten erzeugt Vertrauen. Güte beim Denken erzeugt Tiefe. Güte beim Verschenken erzeugt Liebe.
M. Twain;Trauer sorgt für sich selbst, aber um das Glück wirklich auszukosten, musst du jemanden haben, mit dem du es teilst.
M. Cervantes;Wenn sich eine Tür schließt, öffnet sich eine andere.
Pablo Picasso;Mit Kunstwerken ist es wie mit den Menschen: Es gibt fast nur Kopien und kaum Originale.
Platon;Sie werden also sagen: Wenn der Gerechte so gesinnt ist, wird er gegeißelt, gefoltert, in Ketten gelegt, an beiden Augen geblendet werden, und schließlich wird man nach allen Martern ihn ans Kreuz schlagen, damit er zur Einsicht kommt, dass es nicht das Richtige ist in dieser Welt, gerecht zu sein, sondern es nur zu scheinen.
Roger Willemsen;Liebeskummer ist ein stärkeres Gefühl als die Liebe selbst.
Roger Willemsen;Am meisten Zukunft haben Menschen ohne Vergangenheit.
Roger Willemsen;Design ist eine Kunst, die vor allem aus dem Wettbewerb entsteht. Ähnlichen Produkten verpasst sie den Nimbus der Unverwechselbarkeit.
Roger Willemsen;Im Augenblick, als die Welt ihren Sinn verlor, entdeckte die Werbung die Heilsbotschaft.
Roger Willemsen;Die Klatschreporter agieren moralisch wie die Ayatollahs des Westens.
Stalin;Der Tod eines Mannes ist eine Tragödie, aber der Tod von Millionen nur eine Statistik.
Winston Churchill;Ein kluger Mann macht nicht alle Fehler selbst. Er gibt auch anderen eine Chance.
Winston Churchill;Die meisten Menschen sind bereit zu lernen, aber nur die wenigsten, sich belehren zu lassen.
Winston Churchill;Lache nie über die Dummheit der anderen. Sie ist deine Chance.
Winston Churchill;Die Kunst ist, einmal mehr aufzustehen, als man umgeworfen wird.
Winston Churchill;Die Menschheit ist zu weit vorwärts gegangen, um sich zurückzuwenden und bewegt sich zu rasch, um anzuhalten.
Winston Churchill;Es ist ein großer Vorteil im Leben, die Fehler, aus denen man lernen kann, möglichst früh zu begehen.
Winston Churchill;Wenn zwei Menschen immer dasselbe denken, ist einer von ihnen überflüssig.
Winston Churchill;Wir bestreiten unseren Lebensunterhalt mit dem, was wir bekommen, und wir leben von dem, was wir geben.
Winston Churchill;Ein Experte ist ein Mann, der hinterher genau sagen kann, warum seine Prognose nicht gestimmt hat.
Winston Churchill;Besser einander beschimpfen als einander beschießen.
Winston Churchill;Alle großen Dinge sind einfach und viele können mit einem einzigen Wort ausgedrückt werden: Freiheit, Gerechtigkeit, Ehre, Pflicht, Gnade, Hoffnung.
